provider_identifier,hospital_name,address,city,state,zip_code,county,phone_number,payment_measure_name,payment_measure_identifier,payment_category_name,denominator,payment_actual,payment_estimate_lower,payment_estimate_higher,payment_footnote,value_of_care_name,value_of_care_identifier,value_category_name,value_footnote,start_date,end_date
320074,LOVELACE WESTSIDE HOSPITAL,10501 GOLF COURSE ROAD NW,ALBUQUERQUE,NM,87114,BERNALILLO,5057272001,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,82,15110,13282,17045,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
320085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,4311 EAST LOHMAN AVENUE,LAS CRUCES,NM,88011,DONA ANA,5755567600,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,278,21205,20329,22106,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,NA,2013-04-01,2016-03-31
321301,SOCORRO GENERAL HOSPITAL,1202 HIGHWAY 60 WEST,SOCORRO,NM,87801,SOCORRO,5758358700,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
321302,DR DAN C TRIGG MEMORIAL HOSPITAL,301 EAST MIEL DE LUNA AVENUE,TUCUMCARI,NM,88401,QUAY,5754617007,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
321307,MINERS' COLFAX MEDICAL CENTER,203 HOSPITAL DRIVE,RATON,NM,87740,COLFAX,5754453661,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,33,14987,12878,17405,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
321309,MIMBRES MEMORIAL HOSPITAL,900 W ASH,DEMING,NM,88031,LUNA,5755465803,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
321309,MIMBRES MEMORIAL HOSPITAL,900 W ASH,DEMING,NM,88031,LUNA,5755465803,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,73,15943,14128,18045,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
321309,MIMBRES MEMORIAL HOSPITAL,900 W ASH,DEMING,NM,88031,LUNA,5755465803,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,27,23607,20806,26663,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,NA,2013-04-01,2016-03-31
321309,MIMBRES MEMORIAL HOSPITAL,900 W ASH,DEMING,NM,88031,LUNA,5755465803,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,126,14318,12875,15707,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,NA,2013-07-01,2016-06-30
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,9143787000,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,132,18726,16953,20477,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,354,23107,21608,24737,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,930,17001,16245,17784,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Better mortality and higher payment,NA,2013-07-01,2016-06-30
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,587,26159,25326,26994,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,"1,065",17397,16738,18028,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,8454548500,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,521,22895,21654,24268,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
330033,CHENANGO MEMORIAL HOSPITAL  INC,179 NORTH BROAD STREET,NORWICH,NY,13815,CHENANGO,6073354111,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,182,13722,12507,14962,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,NA,2013-07-01,2016-06-30
330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,8458713391,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,54,23847,21065,26849,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,8458713391,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,151,14858,13423,16357,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,8458713391,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,517,19397,18842,19975,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Better complications and lower payment,NA,2013-04-01,2016-03-31
330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,8458713391,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,274,17397,16147,18632,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,7186702000,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,249,20941,19452,22575,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,NA,2013-07-01,2016-06-30
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,7186702000,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,690,17001,16131,17914,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,7186702000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,372,28800,27580,30034,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,7186702000,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,"1,590",18999,18421,19578,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and higher payment,NA,2013-07-01,2016-06-30
330058,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,ONTARIO,3157874175,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
330058,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,ONTARIO,3157874175,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,130,16672,14996,18500,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
330058,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,ONTARIO,3157874175,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,156,20023,19044,21079,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,NA,2013-04-01,2016-03-31
330058,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,ONTARIO,3157874175,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,197,16662,15252,18044,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,NIAGARA FALLS,NY,14302,NIAGARA,7162784000,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,96,15404,13684,17062,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,7189204321,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,376,24642,23690,25634,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
330078,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,14214,ERIE,7168621000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,261,22806,21831,23834,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,NA,2013-04-01,2016-03-31
330074,F F THOMPSON HOSPITAL,350 PARRISH STREET,CANANDAIGUA,NY,14424,ONTARIO,5853966000,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,109,13829,12372,15434,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,NA,2013-07-01,2016-06-30
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,6074322000,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,66,19849,17687,22249,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,NA,2013-07-01,2016-06-30
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,6074322000,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,203,13282,12175,14477,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,NA,2013-07-01,2016-06-30
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,6074322000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,76,21231,19712,22926,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,NA,2013-04-01,2016-03-31
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,6074322000,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,277,13692,12744,14673,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,NA,2013-07-01,2016-06-30
330102,KENMORE MERCY HOSPITAL,2950 ELMWOOD AVENUE,KENMORE,NY,14217,ERIE,7164476100,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,395,22107,21354,22914,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,NA,2013-04-01,2016-03-31
330103,OLEAN GENERAL HOSPITAL,515 MAIN STREET,OLEAN,NY,14760,CATTARAUGUS,7163732600,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,167,25135,22988,27532,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
330111,BERTRAND CHAFFEE HOSPITAL,224 EAST MAIN STREET,SPRINGVILLE,NY,14141,ERIE,7165922871,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,6075473456,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,233,21676,19996,23346,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,6075473456,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,300,14266,13220,15362,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,NA,2013-07-01,2016-06-30
330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,6075473456,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,325,20792,20011,21599,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,NA,2013-04-01,2016-03-31
330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,6075473456,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,251,15881,14682,17039,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330181,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,5166747300,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,110,24842,22399,27634,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
330181,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,5166747300,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,277,18048,16803,19489,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and higher payment,NA,2013-07-01,2016-06-30
330181,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,5166747300,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,256,29331,27846,30889,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
330181,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,5166747300,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,440,17804,16817,18810,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,QUEENS,7184707000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,261,23512,21780,25399,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,QUEENS,7184707000,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,889,16563,15841,17330,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,QUEENS,7184707000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,299,25425,24338,26539,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,QUEENS,7184707000,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,913,17246,16519,17945,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,5166323000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,360,22658,21227,24165,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,5166323000,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,743,18096,17238,19000,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and higher payment,NA,2013-07-01,2016-06-30
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,5166323000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,480,24133,23304,24975,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,5166323000,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,"1,236",17313,16691,17905,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,WESTCHESTER,9146810600,Payment for heart attack patients,PAYM_30_AMI,Greater than the National Average Payment,237,25219,23349,27370,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and higher payment,NA,2013-07-01,2016-06-30
330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,WESTCHESTER,9146810600,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,473,19818,18670,21036,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and higher payment,NA,2013-07-01,2016-06-30
330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,WESTCHESTER,9146810600,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,291,25803,24673,27004,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,WESTCHESTER,9146810600,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,955,18759,18028,19470,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and higher payment,NA,2013-07-01,2016-06-30
330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,BRONX,2125195000,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,BRONX,2125195000,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,BRONX,2125195000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,BRONX,2125195000,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,35,16886,14206,19510,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330386,CATSKILL REGIONAL MEDICAL CENTER,68 HARRIS BUSHVILLE ROAD,HARRIS,NY,12742,SULLIVAN,8457943300,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,127,24540,22145,27133,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
330386,CATSKILL REGIONAL MEDICAL CENTER,68 HARRIS BUSHVILLE ROAD,HARRIS,NY,12742,SULLIVAN,8457943300,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,186,18070,16549,19805,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and higher payment,NA,2013-07-01,2016-06-30
330386,CATSKILL REGIONAL MEDICAL CENTER,68 HARRIS BUSHVILLE ROAD,HARRIS,NY,12742,SULLIVAN,8457943300,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Number of Cases Too Small, , , , ,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
330386,CATSKILL REGIONAL MEDICAL CENTER,68 HARRIS BUSHVILLE ROAD,HARRIS,NY,12742,SULLIVAN,8457943300,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,281,17515,16332,18703,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
330393,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,6314444000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,600,24228,22970,25561,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Better mortality and average payment,NA,2013-07-01,2016-06-30
330393,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,6314444000,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,875,17049,16301,17883,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and higher payment,NA,2013-07-01,2016-06-30
330393,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,6314444000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,505,22586,21890,23325,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,NA,2013-04-01,2016-03-31
330393,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,6314444000,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,855,17386,16674,18123,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Better mortality and average payment,NA,2013-07-01,2016-06-30
331303,CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,8081 ROUTE 97,CALLICOON,NY,12723,SULLIVAN,8458875530,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
331303,CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,8081 ROUTE 97,CALLICOON,NY,12723,SULLIVAN,8458875530,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
331303,CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,8081 ROUTE 97,CALLICOON,NY,12723,SULLIVAN,8458875530,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
331303,CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,8081 ROUTE 97,CALLICOON,NY,12723,SULLIVAN,8458875530,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,9196848111,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,456,21524,20282,22785,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,NA,2013-07-01,2016-06-30
340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,9196848111,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,864,15636,14918,16402,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,9196848111,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,732,21354,20780,21896,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,NA,2013-04-01,2016-03-31
